polaridad,tweet
positivo,inici campeonat cop radi ilum
positivo,andre jaramill merch hij candidat consej judicatur magistr cnj mari merch acept recibi cuent usd millon extranjer diner client compr bien raic
negativo,forz niñ continu embaraz pon riesg salud vid futur violacion derech human
positivo,internacional eliminacion violenci muj servici psicologi brind charl usuari combat actos atent derech human mujer
positivo,president moren felicit ambat años independent quer ambateñ celebr fiest alegri caracteriz viv ambat
positivo, seman difund activ realiz derech human mujer person lgbti edicion
positivo,ocurri minut olga tañon defiend venezolan conciert quit ecuador años carrer hic venezuel
positivo,apostill legalizacion document venezuel venezolan ecuador
negativo,ley mantien deud credit educ bec beneficiat condon interes mult recarg recuerd proces total line gratuit ingres web conoc
positivo,ministr particip acto conmemoracion internacional erradicacion violenci muj organiz mes gener cooperacion internacional
positivo,merec vid paz respet libert pong violenci
negativo,hij niñ menor catorc años par ecuador victim violacion años gest infeccion vias urinari anemi 
positivo,cerr presentacion graci tod 
positivo,dialog debat practic necesari cultur paz enriquec democraci posibil debat lleg plen tom decision favor ddhh mujer
positivo,mujer deb empoder ley necesari ecuatorian concienci instrument permit preven proteg mujer violenci
positivo,tuitaz har pm exig impun cas abus sexual envi mensaj agresor naturaliz espaci laboral
negativo,manifiest cas desaparicion servidor public necesari presenci titul comision accion implement
negativo,emergent social sumat tuitaz am mañan viern septiembr hashtag etiquet
negativo,vigil proces victim proces cas posorj francisc hurt
negativo,demand conformacion mecan consult mujer organiz especializ prevencion atencion violenci definicion particip institucional asumir competent violenci
positivo,seman record articul periodist aport debat abort violacion argument agradec not lee complet
negativo,quer enfrent espaci polit femin ali luch graci llen motivacion polit encuentr activ lgbti ecuador
positivo,ven cumand conoc servici
negativo,miser viol niñ abus escuch histori chimboraz pastor violador denunci ofreci vac famili pobr cambi silenci miser
positivo, emprendedor jessic zambran pus disposicion creacion stop artesani ceram tel 
negativo,boletin fiscali present cas violenci sexual niñ niñ adolescent ambit educ 
positivo,unic represent ecuador clic votacion finaliz noviembr
positivo,verdader veri municipi somet interes
positivo,despiert person apoy evit
positivo,festej trabaj segur bienest motor product recorri uvc cuartel model reunion president
positivo,neototalitari for sao paulojunt ali euroasiat necesit territori venezuel libr obstacul habit mayori zombi provoc exod masiv sudamericay onu estabiliz recurs aport mayoritari occident
positivo,shamupankichi mashikun invit esper estadi parroqui ilum 
negativo,respetu instam ecuador ali region tom pas aisl regim nicol madur penc declaracion moren
positivo,sient quit pes
positivo,fudel incorpor deport herramient desarroll estudi bid logr brind cobertur direct person proces formacion alcanz insercion posit are educacion
negativo,diferent enorm comunic aport comunicacion realid dist afect person lgbti voz ped disculp 
positivo,lech aliment suer aliment usad dialog efect result seman activ campañ consum lech ministr
negativo,urgent archiv reform parcial codig niñez adolescent inconstitucional regres derech respond interes particular 
negativo,extranger deten esper san roqu suspech
positivo,acto bienven event derech human mujer avanc ecuador intervien jessic ocho deleg
positivo,orellan adult mayor pint color mural objet sensibiliz comun respet cuid recib socied
positivo,recib propuest organizacion elev mocion inclusion agend legisl 
negativo,cruel ruin cieg famili divers famili union val heter pretender vanodesconoc realidad cotidian muchxs sig segregadxs violentadxs
positivo,tsjlegitim notif sentenci nicolasmadur captur 
negativo, coordin señal servici atencion infanci enfoqu derech polit public implent gobiern nacional 
negativo,escuch extranjer vien quit
negativo,boletin atendi requer intern latacung
negativo,libert plen pres persegu exili polit venezolan
negativo,chic años dobl posibil chic recib educacion formacion mujer joven hombr joven cambi via 
negativo,president colombi pid presion diplomat dictadur venezuel
positivo,invitacion defensori puebl emit resolucion respuest mandat mujer amazon mart noviembr av shyris tierr
positivo,encuentr transicion grup parlamentari import legisl derech mujer
positivo, buqu hospital gring lleg colombi refuerz medic venezolan
positivo,escrib todxs lee escrib sra lees señor escrib ud lees facil
negativo,mujer indigen enfrent divers form violenci ecuador 
positivo,pregunt frecuent emigr ecuador quer comun
positivo,event intervencion defensor puebl apertur campañ octubr violent formacion simbol violenci elimin discriminacion racism xenofobi parqu
positivo,relax corr corr empiez noven
positivo,necesit ayud tem legal gratuit apuntat
negativo,tribunal ratif pen años autor años mes complic delit cohech orden restitu usd millon reparacion integral afect petroecu
positivo,exist comit etic resuelv sancion asambl 
negativo, siguen espaci radial semanal jaul purpur pued escuch link
positivo,salud aureli hidalg nombr ministr des exit esper designacion hag realid construccion neces conoc actual titul carter
negativo,tard iglesi castig cur violador
positivo, suscribi contrat ampliacion carril via riobambaambat inversion millon impuls desarroll region central gener emple direct indirect
positivo,suert dec cont herramient geo vit geo portal visit intern turist disposicion ecuatorian viceministr 
positivo,present ambit vid arte danz convivent comunitari vid cultur
positivo,octubr confirm años radi ilum 
negativo,reflexion angel gend levant confidencial contrat suscrit perit mez inform alter asambl via
negativo, mujer asesin famili hombr parej femicidi mund habit bahi caraquez atacam sum atencion inform bbc
negativo,ret permanent compromis erradicacion form violenci mujer
positivo,jehov pel tranquil exod 
positivo,boletin investigacion fiscali permiti hallazg cuerp carcel 
positivo,gobiern president moren luch corrupcion frontal ministr
positivo,mujer hombr present seminari iguald discriminacion unim par segu viv mied
positivo,coordin director acompañ niñ niñ adolescent aprend conect accion conjunt 
positivo,deb socied proteg niñ niñ adolescent gener sociedad segur inclus 
negativo,censur destitucion superintendent ocho 
positivo, enfasis recomend polit public tem remuner hog cnig apoy aprobacion ratificacion conveni 
positivo,internacional eliminacion violenci muj servici psicologi brind charl usuari combat actos atent derech human mujer
negativo,paulin murill adjunt consumidor usuari recuerd convoc audienci public entidad public control sistem financier indiqu accion frent reclam ciudadan
positivo,ley violenci necesari par asesinat mujer
positivo,ecuador enter une festej viv cuenc viv gent magic tesoner hospitalari moren
positivo,ilum uyachik anta shukll shimipi tantanakushk viv radi ilum fortalec notici comunitari
positivo,orquest eclips latin conciert sab octubr estadi parroqui ilum pel ambrosi band pat amarill artist masn pued perd
positivo,cont nov for realidad desafi socied frent vid violenci
positivo,orgull amig graci tra alegri
positivo,fot oye sepsi comer fot compart graci maxim
positivo,cancilleri facilit ingres sal menor edad venezolan document 
positivo,portador vih expect vid normal epidemi
negativo,embaraz adolescent muestr violenci comet alarm darl especial atencion prevencion coment
positivo,cim comun kalpaki
positivo, movilizacion organiz balcon acer person sum demostr exigent erradicacion violenci 
positivo, venezolan pos ingres portal digital seleccion opcion moneder habilit modal ahorr
positivo,ministr particip acto conmemoracion internacional erradicacion violenci muj organiz mes gener cooperacion internacional
positivo,opin tem abort cas violacion necesari informacion plat argument ide equivoc pastill suficient evit embaraz forz mujer viol
positivo,rodeat person acept apoy present motiv futur 
negativo,violenci afect person adult mayor violenci sexual invisibiliz violenci patrimonial viv sufr despoj bien reflexion event
positivo,excelent 
positivo,man call juan riv prision
positivo,web insum ley organ preven erradic violenci mujer pued acced 
positivo,modul busc conoc ejercici derech sexual reproduct compromis famili construccion colect cultur paz 
negativo,borreg conscient entend dificil
positivo,noviembr conmemor violenci mujer dec
positivo,invitacion particip muestr cierr tall teatr oprim cotidian exclusion convivent
negativo,felip burban lar pon ded llag
positivo,deb exig investig hech epoc den nombr agent estatal
positivo,loipevm principi sistem nacional integral prevencion erradicacion violenci mujer criminalizacion revictimizacion confidencial gratuid oportun celer territorial art 
negativo,cuestion preocup ecuador import socied debat espaci posibl informacion necesari graci pas dist
negativo,fiscali lider oper apoy isla pun guay detuv person incaut kil cocain lanch telefon satelital presum drog iba ingres puert maritim
positivo,luch derech decid conquist
positivo,razon amig import dej nosotrxs respet espiritual med respet
negativo,asambl respald precandidatur asambl president
positivo,natali ari asesor cnii explic organ promocion exigibil derech seminari sistem proteccion integral derech niñ niñ adolescent ecuador reflexion propuest
positivo,recomend cedaw convoc institu segu avanz iguald discriminacion 
positivo,expresion artist permit gener competent individual social construccion sociedad inclus imaginacion creativ
positivo,defensor puebl recalc pronunci realiz silenci titul tint polit
negativo,aberr confund aberr viol mil niñ call permit acept cas minimz equipar defens derech pederasti clerical vergenz
negativo,curul moren correist reubic evit tension proposit asambl pel injustici pobrez via
negativo,estim favor brind respuest ciudadan cas qued atent gentil contestacion salud
positivo,huyayay ilum uyachik anta invit celebr años unic radi kichw nort segu fortalec cultur 
positivo,felicit graci compañer segu reconoc valor liderazg potenci presenci fuerz joven debatiendoanalizandoacordandoactu camin justici iguald
positivo,jcpd tenient polit gad municipal ccpd firm acta compromis consider problemat violenci afect mujer niñ 
positivo,descubr cambi climat cuestion gener actu
positivo,entrev invit consuel bow president 
positivo,paulin murill adjunt person usuari consumidor enfatiz apertur investigacion defensorial recab informacion entidad control bancari frent denunci
negativo,opinion oro sant ros centr hemodialisis pacient sufr enfermedad renal cronic oro traslad provinci recib tratamient medic
positivo,boletin asamble aprob año ley
positivo,colombi helicopter estadounidens aterriz colombi traslad venezolan enferm buqu hospital
positivo,respet mujer compromis socied violenci merec viv segur mied erradic preven violenci muj polit gobiern nacional
positivo,mecan asesor derepuest
positivo, ministr inici entrev inform reform reapertur centr gerontolog pedernal 
positivo,ecu quit fuert replic provisonal richt epicentr mompich report dañ alert tsunami
positivo,polit femin particip tar cuid famili sistem involucr miembr facilit participacion polit mujer
negativo,debat despenalizacion abort vot 
positivo,ret permanent compromis erradicacion form violenci mujer
positivo, director atiend requer represent person vident des apoy institucional inici fortalec emprend 
positivo,miercol diciembr invit proyeccion for documental gener ataqu director jeronim centurion film peru cost ric brasil colombi entrad libr
positivo,noviembr conmemor violenci mujer dec
positivo,orgull profesional comun luz mari cruz represent lecher pesill
positivo,estim favor atend requer ciudadan qued esper contestacion cas contrari comunic corre asesor salud
positivo,noviembr conmemor violenci mujer dec
negativo,plataform mujer camin iguald particip march antorch violenci muj
negativo,tem migracion burocratizacion victim pierd institucional respuest rap
negativo,adjunt consumidor usuari señal principal fuent ingres poblacion muisneñ turism afect resolucion sgr ped declar inconstitucional derog
negativo,instal sesion antecedent polit public prevencion consum drog recibir viceministr
negativo,mandatari moren refiri luch independent continu super pobrez inequ social 
negativo,traig dialog recuerd polit gobiern dialog mil person centenar institu unieron dialog nacional moren
positivo,continu protocol busqued dirig diligent apoy localiz ciudadan desaparec michell
positivo,amig muchisim graci
negativo,escrib gent indign xq pronunci twitt tem gent minut ide caraj fund veo cercan chism red cas simil dir
positivo,organiz ecuador solicit president moren xq divers democraci
positivo,respet lenguaj conoc
positivo,convers paulin palaci herrer secretari tecnic consej nacional iguald gener
positivo,inici campeonat cop radi ilum 
negativo,estudi fundacion quitu raymi ecuador permit magnitud context tendenci explotacion sexual comercial niñ niñ adolescent fren delit
negativo,cambi encuest canton quit inclu parroqui rural urban realiz empres intellecti ver favor hombr mujer parej aceptacion
negativo,recuerd acudi ped prestam empres des cristaliz sueñ acudi banc lleg pregunt creditici moren
positivo,list habl
positivo,voz puebl voz dios derog escuch mandat popul consult febrer
positivo,resolucion impuest reflexion subcoordin banc funcionari public aprovech carg crec fortun via
positivo,jam dej indefens muj sufr violenci erradic preven violenci gener polit compromis gobiern nacional
negativo,años segur homosexual mantuv secret escuch socied enfermed pec etc
negativo, director recorr instal centr integral atencion discapac cas chimboraz inmuebl adecu centr residencial espaci arte inclus respect 
negativo,fiscal comision inform sistem notificacion menor desaparec consider alto riesg capacit funcionari protocol activacion sistem
negativo,explic person adult mayor impos dej pens diferent signific afect decis ejercici derech
positivo,yordanzon talent nacional enecu
positivo,quer amig darn man necesari proyect inclu encuentr internacional cierr encant cont presenci cre abraz apret
positivo,herramient permit med movimient turism excursion territori nacional utiliz telefon movil innov herramient mund viceministr
positivo,felicit presentacion plante articulacion socied avanz iguald discriminacion visibiliz poblacion trans intersex histor releg
positivo,reuni alexandr monc director coordin accion conjunt permit proces ciudadan colect particip reform favor person movil human famili
positivo,ministr refiri reform ley comunicacion posicion gobiern elimin caract punit ley deb sac amenaz penal garantiz libert expresion sostuv
positivo,priorid senescyt institu educacion superior univers cuent protocol cas violenci gener magali ram director formacion senescyt
positivo, red zonal violenci niñ niñ adolescent convoc jorn dej huell vid libr violenci guayaquil
positivo,inaugur rued negoci emprend organiz guayaquil instal fortalec emprend gener credit desarroll human cdh 
positivo,ment evit tristez tem pel ambroci band pat amarill acompañ decim octav aniversari octubr
positivo,aniersari radi ilum
negativo,fiscali recibi denunci atend fiscal tenen brech fiscal deber cubiert años incorporacion funcionari brind servici ciudadani
positivo,lleg import acuerd empres contrat segur dialog manten represent result
positivo,invit celebr junt años radi ilum
negativo,ciudadan indign indign reconozc iglesi labor cristian laic indign asamble prest jueg suci lav nombr iglesi escandal
positivo,gobiern nacional implement polit econom direccion reactivacion econom product pes dificil situacion econom gobiern recuper economi intern
positivo,joven present inici promocion derech muj
positivo,tall sistem person desaparec fiscali capacit personal agilit recepcion denunci ingres informacion sistem siaf 
positivo,line indeb busc proteg diner ecuatorian
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
positivo,apoy mujer emprendedor mejor capac manej pequeñ negoci 
positivo,robert latorr
positivo,robert luis robert torr
positivo,segu persist human celebr diversidadsin discriminacionsin violenci mujer
positivo,exist futbol encontrari canaliz primit corr tor pel gall peg mujer hac bullying distint faj put violent man descerebr
positivo, colombi helicopter estadounidens aterriz colombi traslad venezolanosenferm buqu hospital 
positivo,escuch habl polit habl democraci demuestr liderazg encuentr formacion polit graci
positivo,contextualizacion naturalez magnitud violenci niñ niñ adolescent ecuador tem abarc grac vasquez director tecnic cnii tall
positivo,hit gestion propuest accion representacion man president cnii constru ecuador region garanti derech niñ niñ adolescent
positivo,ley atent construccion codig organ salud alto indic embaraz niñ adolescent combat form ecuador laic derech retroced
positivo, guayaquil realiz mes socializ conveni cooperacion intervencion institucional proced atencion niñ niñ adolescent context movil human suscrit
negativo,mujer objet multipl form discriminacion viol principi iguald derech respet dignid human fiscali investig enjuici busc sancion repar cas denunci
negativo,realid ecuador
negativo,desperdici fras llen homofobi cotidian refer gay lesbian apetec ide relacion homosexual esteril person vergonz
negativo,mensaj subvalor whatsapp llam empati past reconoc contest instant dej espaci mental habl previen mensaj voz min text larg enred
positivo,boletin impuls centr inclusion econom emprendedor sur guayaquil 
positivo,mari jos carrion lleg alcaldi quit taxi amarill facil lleg ecovi verdader ret 
negativo,fiscali inform ciudadan proces abus sexual hij conoc cas nivel nacional 
positivo,atencion emit disculp public colect yasun revis 
positivo,grand amig graci dej alto abrazot llen cariñ
positivo,present juev noviembr
positivo,ministeri tom med import suer lech pintur suer buen practic ped revis norm beb lact juan pabl grijalv represent sector ganader pichinch
positivo,feliz mencion comentari amig llen color gris
negativo,organ nomin consej judicatur actual favor respons nombramient futur autor definit cas contrari segu absurd 
negativo,violenci sexual caus signific embaraz niñ años edad acced investigacion complet
positivo,segu correct sueñ fiscali hac realid ven fiscal cierr intervencion
positivo,usuari bon desarroll human pension tarif preferencial permit conect comunic servici movil 
positivo,aul magn ucv oir voz millon venezolan luch cambi congres venezuel libr
positivo,viv quier verl sonr dej decid cuerp
positivo,manten elev estandar servici ciudadani fiscal firm conveni cooperacion tem capacitacion fundacion rehabilitacion integral victim violenci priv represent director yadir narvaez
negativo,dec gan marc retroces educacion ecuador
positivo,comision justici apoy reform coip despenaliz abort violacion 
negativo,clas polit ecuatorian nombr homosexual descalific contendient actual tomador decision graci permit particip entrev especial investigacion
positivo,felicit dirigent fusion convias nobl labor apoy venezolan encuentr ilusion ht
positivo,ciud loj sed cun artist nac benjamin carrion eduard kingm cristobal oje davil angel felicisim roj pabl palaci jos riofri cuev celi matild hidalg procel
negativo,reparacion derech victim violenci sexual moviliz impun
positivo,jorn uter disident veng arranc
positivo,noviembr conmemor violenci mujer dec
positivo,jorn dejandohuell violenci mujer niñ moviliz promov defend derech vid libr violenci
positivo,represent compart experient diagnost escuch especializ niñ niñ adolescent victim 
positivo,fiscali apoy presenci familiar lider diligent busqued scann georad cas presunt desaparicion corazon jesus rastre realiz inmuebl ubic pusuqui
positivo,internacional eliminacion violenci muj beneficiari orellan reun parqu central levant voz
positivo,iii encuentr nacional lideres anunci promulgacion decret creacion secretari nacional derech human inclu rectori ley violenci luch continu
positivo,ministr agradeci bomber quit labor hech
positivo,congres ecuador sesion septiembr analiz creacion escud armas manteni escud republ colombi afan manten unid independiz
positivo,desarroll infantil estrech lig tem nutricional identificacion niñ niñ atencion increment aplicacion fich vulner 
negativo,mujer dec denunci violenci atent estabil famili
negativo,aprend costumbr cas cruz despeñaperr racism xenofobi rob man llen regal millon eur banc kms embaraz perdi vid naufragi maldit impresent
negativo,estim andres invit comunic corre asesor adecu salud
negativo,discriminacion nac imaginari hombr muj
negativo,empec curs alumn asperg llam present present man disculp prof distraig estup vin alma pis hij mierd convenci 
positivo,mision busc precautel garantiz bienest adult mayor condicion vulner extrem pobrez 
positivo,grup inka llakt trayectori
positivo,ret permanent compromis erradicacion form violenci mujer
positivo,agreg voz comun crecient gent romp silenci expresat elimin violenci mujer abog cambi
positivo,años diferent hombr gay mejor 
negativo,represent lider reunion interinstitucional provinci autor dialog acerc fortalec mecan respuest prevencion violenci
negativo, exalcald dav smolansky habl exod venezolan comparti cifr departament guajir mujer dand luz venezolan
negativo,fiscali inform person proces tonel drog incaut seman conoc cas nivel nacional 
positivo,estim sulit favor escriban mensaj intern informacion cas ayud salud
negativo,intencion alborot noch ok intencion agradec fot ezra mill 
positivo,internacional eliminacion violenci muj servici psicologi brind charl usuari combat actos atent derech human mujer
positivo,bas economi ahorr jajaj
positivo,inici entrev habl violenci niñez adolescent observ cnii inform comision
positivo,unet internacional eliminacion violenci muj noviembr 
negativo,tecnic atencion domiciliari coordin represent recint boc cañ samborondon atencion adult adult mayor sector
positivo,iguald divers socied just equit
positivo,reflexion tem abort cas violacion argument opinion inform plant argument ide fals respond crim crim pas voz
negativo,docent destac tratamient despenalizacion abort cas violacion abord problemat enfrent socied solucion legal posibil eleg 
positivo,neototalitari for sao paulojunt ali euroasiat necesit territori venezuel libr obstacul habit mayori zombi provoc exod masiv sudamericay onu estabiliz recurs aport mayoritari occident
negativo,tratamient consej segur public maxim autor event pong riesg segur nacional ciudadan
positivo, bon pension objet prioriz recurs garantiz derech min grup vulner
positivo,ciclovi nadi muert carreter joven san dedic triatlon entren vid corr peligr
positivo,descubiert amazigh idiom minoriz extend nort afric millon hablant graci miloud hankari
positivo,municipi cayamb pedr moncay loret meji dej facult pertenent cumpl labor ayud socied robert gomez decan facult cienci administr
negativo,violenci muj frut socied patriarcal cultural vea derech vision punit aplicacion señal ministr
positivo,tej sueñ aarm red colabor graci proyect hermos realid
negativo,años dej delincuent
negativo,fin pertinent 
negativo,region amazon hered contaminacion produc muert mil person
positivo,juli nosotrxs red internacional hic compart esper 
negativo,tant años proyect comision reci aparec amazoni tant años debat proyect aparec aprobacion mal 
positivo,campañ concienci violenci promuev valor erradic form violenci institu educ docent padr famili estudi autor cultur paz
negativo,cabez sab cumpl labor deneg derech person lgbti cas cambi sex cambi nombr dobl filiacion matern patern matrimoni civil igualitari 
positivo,present proyect ley organ integral prevencion erradicacion violenci muj deb asegur felic madr herman hij compañer niet
positivo,tip violenci violenci patrimonial control sustraccion retencion recurs econom material victim 
positivo,cordob pint naranj violenci gener distint activ adher campañ mundial activ violenci gener
positivo, internacional eliminacion violenci muj ministeri formulacion polit public contribu direct caus
positivo,reinstal audienci preparatori juici exministr ivan person presunt delit pecul complej judicial valdivi defens proces carg defensor public
positivo,gust conicert monic 
positivo, busc consultor estudi mujer condicion desplaz fronter sur ecuador info pas voz
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
positivo,madr famili unid crec hij galeri jueg dur recib certific inscripcion proces continu educ niñ niñ años
positivo,president moren ofrec caden nacional accion tom tem corrupcion suscit recient sigal
positivo,inaugur encuentr nacional asegur fundamental repens polit public diseñ acord problemat movil human
positivo,viv invit segu facebook liv pagin mies rued prens divers inform accion benefici person discapac 
positivo,exig urg revision definicion polit public materi justici derech humanosel ajust econom institucional afect derech
positivo,ministr mies president cnii afirm especial principi derech especif fundamental urgent reform codig niñez adolescent
negativo,oim millon venezolan abandon exod continu
negativo,estim favor atend requer ciudadan esper contestacion cas contrari estim juli comuniques favor corre
positivo,invitacion march luz defens planet
negativo,final relacion protocol segur manifiest incumpli articul establec proced control filtr carg filtr carg agent segur penitenciari
positivo,cab inauguracion unid educ guachal mit mund canton cayamb encabez president moren present model escuel sigal
positivo,delegacion desarroll tall capacitacion person servidor public tem person servidor public garantiz
positivo,agricultur principal activ econom derech laboral autonomi sector enfrent fuert desafi 
positivo,intervien galian balcaz coordin misional fiscali tall cooperacion internacional recuperacion activ via accion extincion domini particip agent fiscal unidad especializ relacion temat
positivo,coordinacion zonal particip campañ secret familiar impuls red vulneracion naturalez provinci desarroll san gabriel
negativo,zapater obsesion eeuu venezuel petrole
positivo,quint tall organiz coordinacion zonal servidor servidor publicss gad trat rol funcionari funcionari public represent poblacion
negativo,exig proyect consider demand movimient mujer ecuador ley
positivo,arranc campañ busc unir ecuador pong practic valor dem unet cruz
positivo,constat calid servici brind institucion ciudadani fiscal recorr oficin fiscali provincial pichinch unid flagranci edifici octubr quit
negativo,haber pendient jubilacion problem hered deud histor gobiern maestr reflexion asambl via
positivo,feri libr popay estudi prob videojueg prevencion violenci masculin correspons tsiun apoy
positivo,cas aampetr muestr dimension desafi existent diagnost sistem nacional proteccion integral niñez adolescent 
positivo,contingent oper despleg territori nacional feri noviembr activ miercol octubr lun noviembr
positivo,realiz univers nacional loj cin for estudi cas violacion rep inform comision
positivo,pas berlin ciud incluyent 
positivo,internacional eliminacion violenci muj visibiliz accion preven erradic implement fortalec capac proteccion prevencion proces format
negativo,plant meg caus agrup investig proporcion ventaj señal
positivo,dir agradec asistent participacion marc histori llam compromis present frent estadist violenci reflej denunci call 
positivo,educacion sexual integral cierr espaci violenci sexual compart ide enterat
positivo, onu ecuador vist naranj pon violenci mujer
positivo,mañan secretari tecnic particip conversatori organiz megeci president gobiern españ jos luis zapater
negativo,accion tom destitucion caden respons rehabilitacion social inclu oper monitor grillet electron fern alvar
positivo,defensor intercambi experient propon altern diciembr for regional
negativo,etnocentr machism ojo ajen pens form machism cultur grav tufill xenofobi quer revis gust muert
negativo,visit in situ investigacion defensorial contaminacion ambiental montecristi inspeccion escuel rub dari posibl repercusion salud alumn estudi dich institucion educ
negativo,adjunt naturalez indic detall comparecent recl ciudadan pag autoriz institu financ financ
positivo,carl martin beristain visibilizacion violacion fundamental proces reparacion necesari reconoc error comet
negativo,via niñ har entend xenofobi jueg
positivo,alcald palt afirm gads acerc funcionari manej conveni niñez intergeneracional document fundamental
positivo,proyect ley demand program social cultural estadi segur enseñ hinch viv gol paz represion asambl nacional
positivo,finaliz sesion solemn conmemoracion particip president republ moren
positivo,alianz llev cab event muj period ecuador miercol marz caf democrat invit 
positivo,particip panel constru iguald destru violenci gener plante aport ley violenci muj norm especif niñ proteccion mujer rural
positivo,sesion comision lectur borrador inform debat proyect ley organ reformatori
positivo, acompañ logr cambi condicion vid niñ niñ sufr desnutricion
positivo,vigil amad niñ niñ adolescent derech nombr acord ident sexual prejuici antepong conoc ley repit laic laic laic laic
positivo,cerr selfi reconoc divers compromis continu luch derech
positivo,boletin music refuerz rehabilitacion social crs femenin guayaquil 
negativo,declar cabl parais sector mang cur marc jorn dej huell vid
negativo,motiv form clar part polit import legisl bas constitucion laic quier impon moral valor subjet vergenz asambl
negativo,mari fernand restrep cineast segu indiferent niñ muer viol oblig par product violacion 
positivo,jorn segu avanz espaci econom laboral dirim batall libert femin traz camin iguald lleg libert divers
positivo,represent lider reunion interinstitucional provinci autor dialog acerc fortalec mecan respuest prevencion violenci
positivo,felicit compañer luz amer reconoc labor organiz social
positivo,ministeri manabi ejecut proyect emergent tem vialid trabaj optim man comit reconstruccion ministr
positivo,gobiern nacional anunci fortalec control escal nacional carg agent transit kit tecnolog segur monitor preven sancion infraccion conductor oper transport
positivo,nuev artist unen violenci mujer niñ intervin mural sent mund violenci parqu urrac ciud panam pm
positivo,boletin luch corrupcion mejor institucional destac rendicion cuent fiscal
positivo,escuel formacion nel martinez lleg rincon desarroll tall canton pichinch inici
positivo, famili sanchezguev usuari servici crec hij sector soci viviend particip recreat inclus 
positivo, nort guayaquil replic tall tecnic adult mayor trat tem volunt gener sexual ident sexual derech sexual reproduct preven violenci muj 
positivo,medi compart notici public edad
positivo, finaliz recorr unilev niñ niñ adolescent plasm aspir vagon tren sueñ promuev derech educacion 
positivo,tierr cas grand augur exit cuent irrestrict apoy gobiern segur respect moren
positivo, unid edad oro ubic malvin person adult mayor elabor adorn navideñ material recicl terapi ocupacional fortalec destrez 
positivo, president moren mantuv entrev agenci notici ap abord tem situacion venezuel luch corrupcion gestion gobiern
negativo,deleg entrev radi matiavi naturalez solucion conflict
negativo,malti tudu resident alde bih indi pertenec grup joven entusiast activ acab matrimoni infantil afect niñ bih
negativo,sesion moder gian carl delg nidy pesantez compart perspect desafi socioeconom posibil limit aument temperatur global grad celsius
negativo,pud expres estim miser ment carenci sent human reg venen quier viv decid independient
positivo,buen produccion traduc product calid calid traduc vent moren
positivo,junt garantiz acces aliment segur salud nutrit socied just acces recurs ejercici derech priorid miembr onu
positivo,reform ley ladp deber desarroll competent constitucional asegur promocion proteccion derech human naturalez
positivo,entreg proyect inici surg organiz mujer
negativo,investigacion economi cuidadotrabaj remuner remuner analisis result encuet especif 
positivo,ecuatorian obligacion garantiz famili divers iguald derech
negativo,leg habl destruccion infraestructur destruccion ciudad exod permanent intoler represion actos repudi leg tiran basurer histori 
positivo,cas protagon quier vol libr ayud pens situacion jov invident gay
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
negativo,grac vasquez director tecnic cnii vital preven participacion niñ niñ adolescent concurs bellez interfer empres realiz event proteg derech
negativo,buen susmerced ofrec madur hor demostr lind gobern economi quier exod estudi colombian venezuel esper
negativo,junt maric excelent reflexion recom lectur
positivo,cambi asegur decision señor president moren cuid person cicl vid person adult mayor dej
negativo,famili divers visibl activ 
positivo,manten line coordin ecuador fiscal reuni fiscal provincial ibarr juni determin neces institucional benefici ciudadani
positivo,contingent oper despleg territori nacional feri noviembr activ miercol octubr lun noviembr
positivo,venezuel tierr magic histori heroic enorgullec deb amarl defend amenaz dios bendig patri
negativo,niñxs adolescent lgbti consider suicidi escap discriminacion famili presion lider religi 
negativo,exig proces exhaust sancion ejemplar mujer medi cobertur despleg rein
positivo,ret permanent compromis erradicacion form violenci mujer
negativo,honest profet desastr venezolan economi grav problemat sector electr amenaz paraliz complet aparat product falt energi
negativo,olvid deud millon hered gobiern esper diciembr alcanz pag valor viend result ministr
negativo,fiscali continu busqued jov julian campoverd report desaparec juli fiscal cas mayr sori dirigi rastre bosqu marcospamb sector biloxi sur quit
positivo,abrazom leg minerv mari teres ratific compromis segu camin erradic tip violenci
negativo,expres dolor loren flor jimb años edad
positivo,fiscal president reun busc mecan implement plan pilot aplicacion ley organ integral preven erradic violenci mujer
positivo,necesit segu vid
positivo,invit invit particip convocatori integr consej nacional iguald 
negativo,hem oid frasedemasi presentacion habl consecuent lenguaj aprend subconscient escond educacion mied
negativo, represent cnii autor voz intergeneracional plant polit public constru territori bas experient año
positivo,ret permanent compromis erradicacion form violenci mujer
positivo,boletin viv fuert consign aven octubr guayaquil 
positivo,sobrevivient defensor activ mund histori cont refier eliminacion violenci mujer cuentan plataform
positivo, tecnic distrit nort luis maridueñ expon tem buen practic inclusion social econom 
negativo,fiscali inform fiscali reformul carg muert ciudadan mascarill conoc cas nivel nacional 
positivo,defensor puebl form asum proces reform garantiz derech informacion comunicacion respet
